movie_id,movie_rank,movie_title,movie_runtime,movie_year,movie_rating,movie_votes
tt7315484,323,. The Silence,1h 30mPG-13,2019,5.3,"49,588"
tt5932728,324,. The Professor and the Madman,2h 4mNot Rated,2019,7.2,"49,542"
tt7153766,325,. Unsane,1h 38mR,2018,6.4,"49,141"
tt7139936,326,. A Rainy Day in New York,1h 32mPG-13,2019,6.5,"49,116"
tt5691670,327,. Under the Silver Lake,2h 19mR,2018,6.5,"48,997"
tt1102427,328,. The Babysitter: Killer Queen,1h 41mTV-MA,2020,5.8,"48,993"
tt7060344,329,. Raatchasan,2h 50mNot Rated,2018,8.3,"48,903"
tt2837574,330,. The Old Man & the Gun,1h 33mPG-13,2018,6.7,"48,871"
tt8236336,331,. The Report,1h 59mR,2019,7.2,"48,591"
tt7772580,332,. The Perfection,1h 30mTV-MA,2018,6.2,"48,431"
tt7431594,333,. Race 3,2h 40mNot Rated,2018,1.9,"48,185"
tt6212478,334,. American Animals,1h 56mR,2018,7.0,"48,143"
tt5397194,335,. Anon,1h 40mTV-MA,2018,6.1,"47,688"
tt1620680,336,. A Wrinkle in Time,1h 49mPG,2018,4.3,"47,167"
tt5208252,337,. Operation Finale,2h 2mPG-13,2018,6.6,"47,146"
tt8508734,338,. His House,1h 33mTV-14,2020,6.5,"46,948"
tt5117670,339,. Peter Rabbit,1h 35mPG,2018,6.6,"46,715"
tt5563334,340,. The Good Liar,1h 49mR,2019,6.7,"46,013"
tt1062086,341,. #Alive,1h 38mTV-MA,2020,6.3,"45,912"
tt2235695,342,. Rebecca,2h 3mPG-13,2020,6.0,"45,499"
tt6772802,343,. Hillbilly Elegy,1h 56mR,2020,6.7,"45,335"
tt3361792,344,. Tolkien,1h 52mPG-13,2019,6.8,"45,204"
tt0805647,345,. The Witches,1h 46mPG,2020,5.4,"45,008"
tt8522006,346,. Happiest Season,1h 42mPG-13,2020,6.6,"44,982"
tt5774450,347,. Summer of 84,1h 45mNot Rated,2018,6.7,"44,765"
tt9354842,348,. To All the Boys: P.S. I Still Love You,1h 41mTV-14,2020,6.0,"44,755"
tt7557108,349,. Saint Maud,1h 24mR,2019,6.7,"44,613"
tt6476140,350,. Serenity,1h 46mR,2019,5.4,"44,045"
tt1620981,351,. The Addams Family,1h 26mPG,2019,5.8,"44,023"
tt9619798,352,. The Wrong Missy,1h 30mTV-MA,2020,5.7,"44,009"
tt1003934,353,. Countdown,1h 30mPG-13,2019,5.4,"43,763"
tt5918982,354,. Possessor,1h 43mR,2020,6.5,"43,653"
tt6803046,355,. The Vast of Night,1h 31mPG-13,2019,6.7,"43,507"
tt6781982,356,. Night School,1h 51mPG-13,2018,5.6,"43,495"
tt6259380,357,. Code 8,1h 38mNot Rated,2019,6.1,"43,362"
tt7985648,358,. The Legend of Tomiris,2h 36mTV-14,2019,6.2,"42,923"
tt7533152,359,. The Boy Who Harnessed the Wind,1h 53mTV-PG,2019,7.6,"42,728"
tt8206668,360,. Bad Education,1h 48mTV-MA,2019,7.1,"42,725"
tt7212754,361,. Ludo,2h 30mTV-MA,2020,7.6,"42,526"
tt2395469,362,. Gully Boy,2h 34mNot Rated,2019,7.9,"42,525"
