movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeminutes,ratingCategory,genre1,genre2,genre3
tt1043150,310,Miracle in Cell No. 7,Episode dated 1 June 2007,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013).,2019,53716,8.2,132,TV-14,Talk-Show,,
tt6491178,311,Dragged Across Concrete,Dragged Across Concrete,"Once two overzealous cops get suspended from the force, they must delve into the criminal underworld to get their proper compensation.",2018,53386,6.9,159,R,Action,Crime,Drama
tt5783956,312,When We First Met,When We First Met,"Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things.",2018,52959,6.4,97,TV-14,Comedy,Fantasy,Romance
tt5431890,313,Official Secrets,Official Secrets,The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.,2019,52872,7.3,112,R,Biography,Crime,Drama
tt1086064,314,Bill & Ted Face the Music,Bill & Ted Face the Music,"Once told they'd save the universe during a time-traveling adventure, two would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",2020,51978,5.9,91,PG-13,Adventure,Comedy,Music
tt9426210,315,Weathering with You,Weathering with You,"Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather.",2019,51923,7.5,112,PG-13,Animation,Drama,Fantasy
tt7125860,316,If Beale Street Could Talk,If Beale Street Could Talk,"A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.",2018,51696,7.1,119,R,Drama,Romance,
tt8544498,317,The Way Back,The Way Back,"Jack Cunningham was a high school basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.",2020,51484,6.7,108,R,Drama,Sport,
tt9412098,318,Fyre,Fyre,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,2019,51023,7.2,97,TV-MA,Crime,Documentary,Music
tt1289403,319,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.",2018,50990,7.3,124,TV-14,Drama,Romance,War
tt2850386,320,The Croods: A New Age,The Croods: A New Age,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",2020,50770,6.9,95,PG,Adventure,Animation,Comedy
tt5177088,321,"The Girl in the Spider's Web","The Girl in the Spider's Web","Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",2018,50657,6.1,115,R,Action,Adventure,Crime
tt7734218,322,Stuber,Stuber,A detective recruits his Uber driver into an unexpected night of adventure.,2019,50570,6.2,93,R,Action,Comedy,Crime
tt7315484,323,The Silence,The Silence,"When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.",2019,49588,5.3,90,PG-13,Drama,Horror,Sci-Fi
tt5932728,324,The Professor and the Madman,The Professor and the Madman,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",2019,49542,7.2,124,Not Rated,Biography,Drama,History
tt7153766,325,Unsane,Unsane,"A young woman is involuntarily committed to a mental institution, where she is confronted by her greatest fear - but is it real or a product of her delusion?",2018,49141,6.4,98,R,Drama,Horror,Mystery
tt7139936,326,A Rainy Day in New York,A Rainy Day in New York,A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.,2019,49116,6.5,92,PG-13,Comedy,Romance,
tt5691670,327,Under the Silver Lake,Under the Silver Lake,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",2018,48997,6.5,139,R,Crime,Drama,Mystery
tt1102427,328,The Babysitter: Killer Queen,Getting Mama Married: Part 2,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.",2020,48993,5.8,101,TV-MA,Comedy,,
tt7060344,329,Raatchasan,Raatchasan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,2018,48903,8.3,170,Not Rated,Action,Crime,Drama
tt2837574,330,The Old Man & the Gun,The Old Man & the Gun,Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.,2018,48871,6.7,93,PG-13,Biography,Comedy,Crime
